,OPIS Truckstop ID,Address,Truckstop Name,City,State,Rack ID,Retail Price,lat_truck,lon_truck,lat_city,lon_city
24,149,"I-69, EXIT 309 & US-30",RAYS TRUCK WASH,Fort Wayne                              ,IN,370,3.59233333,41.079273,-85.1393513,41.079273,-85.1393513
25,151,"I-80, EXIT 211 & SR-47",CUBBYS #2101,Gothenburg,NE,475,3.13233333,40.9171024,-100.1662054,40.9276614,-100.1606978
26,159,"I-10, EXIT 343",PILOT TRAVEL CENTER #87,Jacksonville,FL,75,3.859,30.2839697,-81.983862,30.3321838,-81.65565099999999
27,160,"I-12, EXIT 10 AT MILE 10",PILOT TRAVEL CENTERS #79,Denham Springs                          ,LA,600,3.23233333,30.4520298,-90.95706369999999,30.48685639999999,-90.95621249999999
28,164,"I-94, EXIT 15 B",FLYING J TRAVEL PLAZA #650,Lake Station                            ,IN,365,3.809,41.5750369,-87.23892459999999,41.5750369,-87.23892459999999
29,167,RT 2 & I-65 EXIT 240,FLYING J TRAVEL PLAZA #653,Hebron,IN,365,3.43566666,41.3186482,-87.2003091,41.3186482,-87.2003091
30,174,US-59 & SR-224,Hop-In Food Stores,Nacogdoches                             ,TX,618,2.859,31.6039455,-94.65600400000001,31.6039455,-94.65600400000001
31,184,"I-29 & I-80, EXIT 1B",SAPP BROS TRAVEL CENTER,Council Bluffs,IA,486,3.719,41.2364673,-95.879668,41.2619444,-95.8608333
32,186,"I-90, EXIT 154 & US-16",COFFEE CUP FUEL STOP #5,Moorcroft                               ,WY,822,3.239,44.2639583,-104.9445639,44.2633149,-104.9502538
33,187,"I-35, EXIT 165 & SR-3",DUDLEYS CORNER,Latimer,IA,433,3.23233333,42.7461204,-93.3926773,42.7633056,-93.3682594
34,191,"I-35, EXIT 193 & SR 106",KUM & GO #0302,Clear Lake,IA,433,3.18566666,43.144692,-93.3597841,43.1435564,-93.3788108
35,192,"I-80, EXIT 93",Brew Stuart Truckstop,Stuart                                  ,IA,320,3.099,41.5034243,-94.3183715,41.5034243,-94.3183715
36,195,"I-40 & I-55, EXIT 280",PETRO STOPPING CENTER #311,West Memphis,AR,435,3.36733333,35.1544158,-90.1359154,35.1465418,-90.18478619999999
37,198,"I-76, EXIT 115",SINCLAIR,Atwood,CO,800,3.299,40.5014212,-103.2620189,40.5477619,-103.2696574
